booking_id,booking_date,checkin_date,channel_id,Channel Name,rate_code,gross_revenue,Commission Rate,commission_amount,net_revenue,booking_status
1,29/10/2025,3/11/2025,1,#REF!,RACK,"4,102.00",#REF!,6.86,"4,547.69",confirmed
2,12/10/2025,13/10/2025,2,#REF!,FLASH,"6,418.10",#REF!,919.95,912.01,confirmed
3,31/10/2025,2/11/2025,4,#REF!,PROMO20,"3,729.00",#REF!,225.28,"2,891.36",confirmed
4,28/11/2025,2/12/2025,3,#REF!,PROMO20,0.00,#REF!,89.68,0.00,cancelled
5,12/10/2025,14/10/2025,3,#REF!,RACK,"4,626.90",#REF!,"4,128.34","3,395.31",confirmed
6,6/10/2025,10/10/2025,1,#REF!,FLASH,"4,107.00",#REF!,0.00,"5,673.69",confirmed
7,9/11/2025,13/11/2025,3,#REF!,PROMO20,0.00,#REF!,0.00,44.63,cancelled
8,21/11/2025,23/11/2025,4,#REF!,CORP,"4,823.10",#REF!,1.20,"5,392.87",confirmed
9,15/12/2025,16/12/2025,1,#REF!,FLASH,"5,071.30",#REF!,50.21,"1,958.19",confirmed
10,22/12/2025,23/12/2025,2,#REF!,PROMO10,0.00,#REF!,5.75,253.82,cancelled
11,1/12/2025,3/12/2025,1,#REF!,PROMO20,0.00,#REF!,19.93,0.00,cancelled
12,1/11/2025,4/11/2025,2,#REF!,FLASH,"5,637.00",#REF!,662.44,"3,741.14",confirmed
13,16/10/2025,20/10/2025,1,#REF!,FLASH,"4,293.00",#REF!,0.00,"3,682.23",confirmed
14,23/12/2025,28/12/2025,1,#REF!,RACK,0.00,#REF!,58.20,96.65,cancelled
15,15/12/2025,17/12/2025,2,#REF!,PROMO10,"3,110.10",#REF!,"1,922.71","2,957.84",confirmed
16,26/12/2025,31/12/2025,1,#REF!,FLASH,0.00,#REF!,22.57,0.00,cancelled
17,6/12/2025,11/12/2025,4,#REF!,RACK,"3,926.70",#REF!,578.70,"1,624.39",confirmed
18,3/12/2025,8/12/2025,1,#REF!,PROMO20,"3,593.70",#REF!,96.83,"3,913.75",confirmed
19,11/10/2025,12/10/2025,2,#REF!,CORP,0.00,#REF!,0.00,55.33,cancelled
20,14/11/2025,19/11/2025,2,#REF!,CORP,"3,108.70",#REF!,0.00,"3,534.65",confirmed
21,12/11/2025,14/11/2025,3,#REF!,CORP,0.00,#REF!,31.31,0.00,cancelled
22,7/11/2025,10/11/2025,3,#REF!,PROMO20,0.00,#REF!,58.01,69.53,cancelled
23,23/10/2025,28/10/2025,4,#REF!,RACK,0.00,#REF!,0.00,0.00,cancelled
24,23/10/2025,26/10/2025,3,#REF!,PROMO10,"4,246.20",#REF!,"2,348.92","3,052.16",confirmed
25,19/10/2025,20/10/2025,4,#REF!,PROMO10,0.00,#REF!,20.80,42.59,cancelled
26,12/12/2025,17/12/2025,1,#REF!,RACK,0.00,#REF!,0.00,0.00,cancelled
27,23/12/2025,27/12/2025,3,#REF!,RACK,0.00,#REF!,0.00,0.00,cancelled
28,9/11/2025,14/11/2025,4,#REF!,PROMO10,"4,491.00",#REF!,648.78,"1,735.80",confirmed
29,17/12/2025,20/12/2025,1,#REF!,PROMO20,"3,611.00",#REF!,50.37,"4,979.05",confirmed
30,18/11/2025,23/11/2025,4,#REF!,PROMO20,0.00,#REF!,35.35,10.77,cancelled
31,22/11/2025,24/11/2025,2,#REF!,PROMO10,"3,684.60",#REF!,247.11,"3,424.82",confirmed
32,2/10/2025,7/10/2025,3,#REF!,PROMO20,0.00,#REF!,67.13,0.00,cancelled
33,5/12/2025,10/12/2025,4,#REF!,PROMO20,"3,280.50",#REF!,839.29,"3,973.59",confirmed
